id,Город дистрибьютора,Торг_точка_грязная,Торг_точка_грязная_адрес,outlet_clean_id
13907,Ростов-на-Дону,Кухаренко М.В. ИП,"346744, Ростовская обл, Азовский р-н, Кулешовка с, Пролетарская ул, дом № 37, кв.97",0
13908,Ростов-на-Дону,Кухарук Н.В. ИП ул. Восточная,"347895, Ростовская обл, Красносулинский р-н, Углеродовский рп, Восточная ул, дом № 84",3407
13909,Ростов-на-Дону,Кухарук Н.В. ИП ул. Советская,"347895, Ростовская обл, Красносулинский р-н, Углеродовский рп, Советская ул, дом № 30",0
13910,Ростов-на-Дону,Кухливский А.Г. ИП,-,206
13911,Ростов-на-Дону,Кухливский А.Г. ИП,"347027, Ростовская обл, Белокалитвинский р-н, Синегорский п, Веселая ул, дом № 16",3408
13912,Ростов-на-Дону,Кухливский А.Г. ИП,"347055, Ростовская обл, Белокалитвинский р-н, Ясногорка п, Лобачевского ул, дом № 11, кв.2",0
13913,Ростов-на-Дону,Кушакова Н.И. ИП,"Волгодонск, Карла Маркса",0
13914,Ростов-на-Дону,Кушакова Н.И. ИП,"Волгодонск, проспект Строителей, дом № 5, кв.58",0
13915,Ростов-на-Дону,Кущ Н.В. ИП,"347872, Ростовская обл, Гуково г, Первомайская ул, дом № 85",0
13916,Ростов-на-Дону,Кущ Н.В. ИП,-,0
13917,Ростов-на-Дону,Кущ Н.В. ИП,"347872, Ростовская обл, Гуково г, Пожарского ул, дом № 4, корпус а",3409
13918,Ростов-на-Дону,"Кущенко Т.А. ИП ул.Московская, 13",-,0
13919,Ростов-на-Дону,Лавренюк Л.Г. ИП,"346919, Ростовская обл, Новошахтинск г, Шоссейная ул, дом № 55",3410
13920,Ростов-на-Дону,Лавров С.В. ИП,-,207
13921,Ростов-на-Дону,Лавров С.В. ИП,"347871, Ростовская обл, Гуково г, Карла Маркса ул, дом № 130-А",3411
13922,Ростов-на-Дону,Лавров С.В. ИП,"347871, Ростовская обл, Гуково г, Лизы Чайкиной ул, дом № 19",0
13923,Ростов-на-Дону,Лаврухина Е.С. ИП,-,3412
13924,Ростов-на-Дону,Лаврухина Е.С. ИП,"344041, Ростовская обл, Ростов-на-Дону г, Целинная ул, дом № 35-Б",3412
13925,Ростов-на-Дону,Лагутина С.И. ИП,"346641, Ростовская обл, Семикаракорский р-н, Бакланники х, Строительная ул, дом № 16, кв.2",208
13926,Ростов-на-Дону,Лазарева Н.Г. ИП ул. Юбилейная 27а,-,0
13927,Ростов-на-Дону,Лазарева Н.Г. ИП ул. Юбилейная 27а,"347842, Ростовская обл, Каменский р-н, 89034862051, Чистоозерный п, Юбилейная ул, дом № 27, корпус а",3413
13928,Ростов-на-Дону,Лазарева Н.Г. ИП ул. Юбилейная 27а,"347842, Ростовская обл, Каменский р-н, Богданов х, Молодежная ул, дом № 21",0
13929,Ростов-на-Дону,Лазарева Н.Г. ИП ул. Юбилейная 36,"347842, Ростовская обл, Каменский р-н, Богданов х, Молодежная ул, дом № 21",0
13930,Ростов-на-Дону,Лазарева Н.Г. ИП ул.Кирова 3б,"347842, Ростовская обл, Каменский р-н, Богданов х, Молодежная ул, дом № 21",0
13931,Ростов-на-Дону,Лазарева Н.Г. ИП ул. Юбилейная 36,-,0
13932,Ростов-на-Дону,Лазарева Н.Г. ИП ул. Юбилейная 36,"347842, Ростовская обл, Каменский р-н, Чистоозерный п, Юбилейная ул, дом № 36, кв.12",3414
13933,Ростов-на-Дону,Лазарева Н.Г. ИП ул.Кирова 3б,-,0
13934,Ростов-на-Дону,Лазарева Н.Г. ИП ул.Кирова 3б,"347842, Ростовская обл, Каменский р-н, Богданов х, Кирова ул, дом № 2, корпус б",3415
13935,Ростов-на-Дону,Лазарева С.А.ИП,"346500, Ростовская обл, Шахты г, Байдукова пер, дом № 28",0
13936,Ростов-на-Дону,Лазарева С.А.ИП,-,3416
13937,Ростов-на-Дону,Лазарева С.А.ИП,"346500, Ростовская обл, Шахты г, Рынок ХБК, Индустриальная 7 А",0
13938,Ростов-на-Дону,Лазарева Т.В. ИП,-,0
13939,Ростов-на-Дону,Лазарева Т.В. ИП,"347027, Ростовская обл, Белокалитвинский р-н, Синегорский п, Ленина ул, дом № 1",3417
13940,Ростов-на-Дону,Лазарева Т.В. ИП,"347027, Ростовская обл, Белокалитвинский р-н, Синегорский п, Юбилейный мкр, дом № 15, кв.4",3417
13941,Ростов-на-Дону,Лазурит ООО,"346715, Ростовская обл, Аксайский р-н, Водопадный п, Совхозная ул, дом № 5, корпус в",781
13942,Ростов-на-Дону,Лазурит ООО ул. Платова,"346720, Ростовская обл, Аксай г, Платова ул, дом № 83-д",3418
13943,Ростов-на-Дону,Лайко Т.В. ИП,-,784
13944,Ростов-на-Дону,Лакомка ООО,-,3419
13945,Ростов-на-Дону,Лакомка ООО,"347311, Ростовская обл, Цимлянский р-н, Лозной х, Солнечный пер, дом № 62",3419
13946,Ростов-на-Дону,ЛАЛИТА ООО,-,0
13947,Ростов-на-Дону,Лалита ООО,"346880, Ростовская обл, 8928-6060060, Батайск г, Ленинградская ул, дом № 245",3420
13948,Ростов-на-Дону,Ланг П.И.ИП,-,209
13949,Ростов-на-Дону,Ланг П.И.ИП,"346562, Ростовская обл, Усть-Донецкий р-н, 89289662205, Мелиховская ст-ца, 5-й пер, дом № 41",3421
13950,Ростов-на-Дону,Ланг П.И.ИП,"346562, Ростовская обл, Усть-Донецкий р-н, Мелиховская ст-ца, 20-й пер, дом № 9, кв.2",3421
13951,Ростов-на-Дону,Лапина Е.П. ИП,-,3422
13952,Ростов-на-Дону,Лапина Е.П. ИП,"347640, Ростовская обл, Сальский р-н, Сальск г, Школьная площадь ул, дом № 34 д",3422
13953,Ростов-на-Дону,Лаптева С.М. ИП,-,0
